sequence,target_id,offset,char,depth,role,paired_target,paired_offset
PASSION24.TEXT.RELATED_HOUR_24:body,PASSION24.TEXT.RELATED_HOUR_24.BODY.P054,94,»,1,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,PASSION24.TEXT.RELATED_HOUR_24.BODY.P053,57
PASSION24.TEXT.RELATED_HOUR_24:body,PASSION24.TEXT.RELATED_HOUR_24.BODY.P055,18,«,1,NARRATIVE_QUOTE_KEEP,PASSION24.TEXT.RELATED_HOUR_24.BODY.P055,59
PASSION24.TEXT.RELATED_HOUR_24:body,PASSION24.TEXT.RELATED_HOUR_24.BODY.P055,59,»,1,NARRATIVE_QUOTE_KEEP,PASSION24.TEXT.RELATED_HOUR_24.BODY.P055,18
PASSION24.TEXT.RELATED_HOUR_24:body,PASSION24.TEXT.RELATED_HOUR_24.BODY.P056,16,«,1,OUTER_DIVINE_OPEN_WRAPPER_HIDE,PASSION24.TEXT.RELATED_HOUR_24.BODY.P089,57
PASSION24.TEXT.RELATED_HOUR_24:body,PASSION24.TEXT.RELATED_HOUR_24.BODY.P089,57,»,1,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,PASSION24.TEXT.RELATED_HOUR_24.BODY.P056,16
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P004,97,«,1,OUTER_DIVINE_OPEN_WRAPPER_HIDE,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P013,95
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P013,95,»,1,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P004,97
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P015,83,«,1,OUTER_DIVINE_OPEN_WRAPPER_HIDE,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P016,15
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P016,15,»,1,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P015,83
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P018,13,«,1,NARRATIVE_QUOTE_KEEP,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P018,141
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P018,141,»,1,NARRATIVE_QUOTE_KEEP,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P018,13
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P019,11,«,1,QUOTED_FORMULA_OR_TITLE_KEEP,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P024,53
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P024,53,»,1,QUOTED_FORMULA_OR_TITLE_KEEP,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P019,11
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P027,66,«,1,OUTER_DIVINE_OPEN_WRAPPER_HIDE,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P032,211
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P032,211,»,1,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P027,66
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P035,12,«,1,REPORTED_QUOTE_KEEP,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P045,120
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P045,120,»,1,REPORTED_QUOTE_KEEP,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P035,12
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P053,230,«,1,OUTER_DIVINE_OPEN_WRAPPER_HIDE,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P053,308
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P053,308,»,1,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P053,230
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P054,12,«,1,REPORTED_QUOTE_KEEP,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P055,21
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P055,21,»,1,REPORTED_QUOTE_KEEP,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P054,12
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P055,35,«,1,OUTER_DIVINE_OPEN_WRAPPER_HIDE,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P055,391
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P055,391,»,1,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P055,35
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P075,0,«,1,OUTER_DIVINE_OPEN_WRAPPER_HIDE,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P082,202
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P082,202,»,1,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P075,0
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P085,121,«,1,OUTER_DIVINE_OPEN_WRAPPER_HIDE,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P089,91
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P089,91,»,1,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P085,121
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P091,64,«,1,OUTER_DIVINE_OPEN_WRAPPER_HIDE,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P097,194
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P097,194,»,1,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P091,64
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P097,208,«,1,OUTER_DIVINE_OPEN_WRAPPER_HIDE,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P098,61
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P098,61,»,1,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P097,208
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P101,40,«,1,OUTER_DIVINE_OPEN_WRAPPER_HIDE,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P101,118
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P101,118,»,1,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P101,40
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P102,12,«,1,NARRATIVE_QUOTE_KEEP,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P102,87
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P102,87,»,1,NARRATIVE_QUOTE_KEEP,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P102,12
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P103,12,«,1,OUTER_DIVINE_OPEN_WRAPPER_HIDE,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P103,368
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P103,368,»,1,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P103,12
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P105,12,«,1,OUTER_DIVINE_OPEN_WRAPPER_HIDE,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P111,216
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P111,216,»,1,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P105,12
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P113,59,«,1,OUTER_DIVINE_OPEN_WRAPPER_HIDE,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P115,150
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P115,150,»,1,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P113,59
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P117,59,«,1,QUOTED_FORMULA_OR_TITLE_KEEP,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P117,77
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P117,77,»,1,QUOTED_FORMULA_OR_TITLE_KEEP,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P117,59
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P120,69,«,1,OUTER_DIVINE_OPEN_WRAPPER_HIDE,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P126,133
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P126,133,»,1,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P120,69
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P128,99,«,1,OUTER_DIVINE_OPEN_WRAPPER_HIDE,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P131,156
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P131,156,»,1,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P128,99
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P131,178,«,1,OUTER_DIVINE_OPEN_WRAPPER_HIDE,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P134,77
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P134,77,»,1,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P131,178
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P138,229,«,1,OUTER_DIVINE_OPEN_WRAPPER_HIDE,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P144,139
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P144,139,»,1,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P138,229
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P148,63,«,1,OUTER_DIVINE_OPEN_WRAPPER_HIDE,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P154,187
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P154,187,»,1,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P148,63
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P157,27,«,1,OUTER_DIVINE_OPEN_WRAPPER_HIDE,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P158,330
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P158,330,»,1,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P157,27
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P160,20,«,1,REPORTED_QUOTE_KEEP,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P161,108
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P161,108,»,1,REPORTED_QUOTE_KEEP,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P160,20
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P162,33,«,1,NARRATIVE_QUOTE_KEEP,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P162,261
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P162,261,»,1,NARRATIVE_QUOTE_KEEP,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P162,33
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P164,12,«,1,OUTER_DIVINE_OPEN_WRAPPER_HIDE,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P168,100
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P168,100,»,1,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P164,12
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P170,107,«,1,OUTER_DIVINE_OPEN_WRAPPER_HIDE,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P171,251
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P171,251,»,1,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P170,107
PASSION24.SECTION.BENEFITS,PASSION24.SECTION.BENEFITS.P051,107,»,0,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,,
PASSION24.TEXT.PROMISES_BENEFITS:body,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P049,107,»,0,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,,
