target_id,start,end,role,reason
PASSION24.HOUR.08.P009,110,112,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.08.P009,138,140,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.08.P012,296,298,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.08.P012,317,319,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.08.P014,20,22,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.08.P014,32,34,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.09.P006,37,39,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.09.P010,145,147,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.11.P006,194,196,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.11.P010,139,141,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.11.P020,0,2,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.11.P021,249,251,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.11.P030,0,2,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.11.P030,123,125,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.13.P005,16,18,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.13.P005,145,147,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.13.P007,0,2,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.13.P009,155,157,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.14.P004,93,95,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.14.P004,125,127,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.15.P005,0,2,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.15.P005,160,162,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.15.P006,17,19,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.15.P006,86,88,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.16.P008,0,2,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
