target_id,run_index,start,end,presentation_speaker,adjudicated
PASSION24.HOUR.17.P025,1,0,44,JESUS,NO
PASSION24.HOUR.17.P026,1,0,163,JESUS,NO
PASSION24.HOUR.17.P027,1,0,152,JESUS,NO
PASSION24.HOUR.17.P037,1,2,128,JESUS,NO
PASSION24.HOUR.17.P038,1,0,92,JESUS,NO
PASSION24.HOUR.17.P039,1,0,42,JESUS,NO
PASSION24.HOUR.17.P040,1,0,396,JESUS,NO
PASSION24.HOUR.17.P041,1,0,148,JESUS,NO
PASSION24.HOUR.17.P042,1,0,144,JESUS,NO
PASSION24.HOUR.17.P044,1,0,291,JESUS,NO
PASSION24.HOUR.17.P048,1,116,270,JESUS,NO
PASSION24.HOUR.17.P058,1,65,110,FATHER,NO
PASSION24.HOUR.17.P059,1,99,122,MARY,NO
PASSION24.HOUR.17.P063,1,2,235,JESUS,NO
PASSION24.HOUR.17.P064,1,0,108,JESUS,NO
PASSION24.HOUR.17.P065,1,0,134,JESUS,NO
PASSION24.HOUR.17.P066,1,0,220,JESUS,NO
PASSION24.HOUR.17.P067,1,0,174,JESUS,NO
PASSION24.HOUR.17.P068,1,0,161,JESUS,NO
PASSION24.HOUR.17.REF.P011,1,2,220,JESUS,NO
PASSION24.HOUR.17.REF.P012,1,0,172,JESUS,NO
PASSION24.HOUR.17.REF.P013,1,0,173,JESUS,NO
PASSION24.HOUR.18.P002,1,52,59,JESUS,NO
PASSION24.HOUR.18.P002,2,101,108,JESUS,NO
PASSION24.HOUR.18.P003,1,88,95,JESUS,NO
PASSION24.HOUR.18.P005,1,2,114,JESUS,NO
PASSION24.HOUR.18.P014,1,2,269,JESUS,NO
PASSION24.HOUR.18.P015,1,0,224,JESUS,NO
PASSION24.HOUR.18.P016,1,0,50,JESUS,NO
PASSION24.HOUR.18.P017,1,0,159,JESUS,NO
PASSION24.HOUR.18.P018,1,0,248,JESUS,NO
PASSION24.HOUR.18.P019,1,0,171,JESUS,NO
PASSION24.HOUR.18.P020,1,0,83,JESUS,NO
PASSION24.HOUR.18.P021,1,0,77,JESUS,NO
PASSION24.HOUR.18.P028,1,119,310,JESUS,NO
PASSION24.HOUR.18.P029,1,0,410,JESUS,NO
PASSION24.HOUR.18.P030,1,0,33,JESUS,NO
PASSION24.HOUR.18.P031,1,0,154,JESUS,NO
PASSION24.HOUR.18.P101,1,2,80,JESUS,NO
PASSION24.HOUR.18.P111,1,189,476,JESUS,NO
PASSION24.HOUR.18.P112,1,0,352,JESUS,NO
PASSION24.HOUR.18.P113,1,0,146,JESUS,NO
PASSION24.HOUR.19.P015,1,2,109,JESUS,NO
PASSION24.HOUR.19.P016,1,0,110,JESUS,NO
PASSION24.HOUR.19.P017,1,0,385,JESUS,NO
PASSION24.HOUR.19.P018,1,0,93,JESUS,NO
PASSION24.HOUR.19.P026,1,2,111,JESUS,NO
PASSION24.HOUR.19.P027,1,0,121,JESUS,NO
PASSION24.HOUR.19.P079,1,2,223,JESUS,NO
PASSION24.HOUR.19.P080,1,0,122,JESUS,NO
PASSION24.HOUR.19.P081,1,0,172,JESUS,NO
PASSION24.HOUR.19.P097,1,564,691,JESUS,NO
PASSION24.HOUR.19.P098,1,0,155,JESUS,NO
PASSION24.HOUR.19.P099,1,0,195,JESUS,NO
PASSION24.HOUR.19.P108,1,2,103,JESUS,NO
PASSION24.HOUR.19.P109,1,0,76,JESUS,NO
PASSION24.HOUR.19.P110,1,0,171,JESUS,NO
PASSION24.HOUR.19.P111,1,0,205,JESUS,NO
PASSION24.HOUR.19.P112,1,0,218,JESUS,NO
PASSION24.HOUR.19.P121,1,360,414,JESUS,NO
PASSION24.HOUR.19.P124,1,2,115,JESUS,NO
PASSION24.HOUR.19.P125,1,0,201,JESUS,NO
PASSION24.HOUR.19.P126,1,0,143,JESUS,NO
PASSION24.HOUR.19.P133,1,2,74,JESUS,NO
PASSION24.HOUR.19.P134,1,0,146,JESUS,NO
PASSION24.HOUR.19.P135,1,0,232,JESUS,NO
PASSION24.HOUR.19.P136,1,0,115,JESUS,NO
PASSION24.HOUR.19.P137,1,0,117,JESUS,NO
PASSION24.HOUR.19.P146,1,2,178,JESUS,NO
PASSION24.HOUR.19.P147,1,0,90,JESUS,NO
PASSION24.HOUR.19.P148,1,0,113,JESUS,NO
PASSION24.HOUR.19.P149,1,0,167,JESUS,NO
PASSION24.HOUR.19.P164,1,2,309,FATHER,NO
PASSION24.HOUR.19.P165,1,0,148,FATHER,NO
PASSION24.HOUR.19.P166,1,37,109,JESUS,NO
PASSION24.HOUR.19.P167,1,0,127,JESUS,NO
PASSION24.HOUR.19.P168,1,0,374,JESUS,NO
PASSION24.HOUR.19.P169,1,0,232,JESUS,NO
PASSION24.HOUR.19.P170,1,0,176,JESUS,NO
PASSION24.HOUR.19.P171,1,0,157,JESUS,NO
PASSION24.HOUR.19.P172,1,0,130,JESUS,NO
PASSION24.HOUR.19.P173,1,0,126,JESUS,NO
PASSION24.HOUR.19.P174,1,0,105,JESUS,NO
PASSION24.HOUR.19.P175,1,0,132,JESUS,NO
PASSION24.HOUR.19.P176,1,0,179,JESUS,NO
PASSION24.HOUR.19.P177,1,0,61,JESUS,NO
PASSION24.HOUR.19.P178,1,0,316,JESUS,NO
PASSION24.HOUR.19.P179,1,0,346,JESUS,NO
PASSION24.HOUR.19.P180,1,0,142,JESUS,NO
PASSION24.HOUR.19.P181,1,0,338,JESUS,NO
PASSION24.HOUR.19.P182,1,0,235,JESUS,NO
PASSION24.HOUR.19.P183,1,0,100,JESUS,NO
PASSION24.HOUR.19.P184,1,0,149,JESUS,NO
PASSION24.HOUR.19.P185,1,0,229,JESUS,NO
PASSION24.HOUR.19.P186,1,0,140,JESUS,NO
PASSION24.HOUR.20.P001,1,23,81,JESUS,NO
PASSION24.HOUR.20.P010,1,2,61,JESUS,NO
PASSION24.HOUR.20.P016,1,110,186,JESUS,NO
PASSION24.HOUR.21.P001,1,20,62,JESUS,NO
PASSION24.HOUR.21.P010,1,2,55,JESUS,NO
PASSION24.HOUR.21.P019,1,2,45,JESUS,NO
PASSION24.HOUR.21.P020,1,44,67,JESUS,NO
PASSION24.HOUR.21.P020,2,84,99,JESUS,NO
PASSION24.HOUR.21.P023,1,20,135,JESUS,NO
PASSION24.HOUR.21.P025,1,93,116,JESUS,NO
PASSION24.HOUR.21.P025,2,140,155,JESUS,NO
PASSION24.HOUR.21.P027,1,2,214,JESUS,NO
PASSION24.HOUR.21.P058,1,21,69,JESUS,NO
PASSION24.HOUR.21.P059,1,287,335,JESUS,NO
PASSION24.HOUR.21.P066,1,2,114,JESUS,NO
PASSION24.HOUR.21.P067,1,0,134,JESUS,NO
PASSION24.HOUR.21.P068,1,0,84,JESUS,NO
PASSION24.HOUR.21.P083,1,2,40,JESUS,NO
PASSION24.HOUR.21.REF.P009,1,56,104,JESUS,NO
PASSION24.HOUR.22.P001,1,21,32,JESUS,NO
PASSION24.HOUR.22.P006,1,147,158,JESUS,NO
PASSION24.HOUR.22.P007,1,2,193,JESUS,NO
PASSION24.HOUR.22.P008,1,0,133,JESUS,NO
