item_id,body_index,block_index,entry_id,old_offset,new_offset,action,mapping_detail,old_context,new_context,status
PASSION24.TEXT.RELATED_HOUR_13,56,1,LDC.T20.E0031,14,16,paragraph_break,equal,tout entier ? Mon Vouloir M’éclipse en toi et tu ,tout ton être ? Mon Vouloir M’éclipse en toi et tu ,PASS
PASSION24.TEXT.RELATED_HOUR_13,38,0,LDC.T13.E0026,107,107,preserve_break,equal,"sommes tous les deux prisonniers — toi, prisonnière dans ton lit, tout","sommes tous les deux prisonniers — toi, prisonnière dans ton lit, tout",PASS
