group_key,para_id,start,end,text_sha256
PASSION24.HOUR.01.REF.P007:0-87,PASSION24.HOUR.01.REF.P007,0,87,68a04f7ad21f62196721568e42ed30d750c6b1e52834d6c83e738cdaceeca65f
PASSION24.HOUR.01.REF.P008:0-340,PASSION24.HOUR.01.REF.P008,0,340,bf23bbfd9e98086f09b03cb871f3b4fbf670e2fce783a76a8c9653b28976d8dc
PASSION24.HOUR.01.REF.P009:0-328,PASSION24.HOUR.01.REF.P009,0,328,30b493a5ceb39485978c7b1ecc22cc20eca1a31dc307713825833714561cc0f8
PASSION24.HOUR.02.P001:0-280,PASSION24.HOUR.02.P001,0,280,ed91fdb0aa9bece095ad6fa349214518cda2f218c0c028526668a4e96d5e21ff
PASSION24.HOUR.02.P002:0-120,PASSION24.HOUR.02.P002,0,120,5998c6ca53245ad23fec5fc6dc6afc18cf6724234e20a95b3767649c63d74821
PASSION24.HOUR.02.P003:0-152,PASSION24.HOUR.02.P003,0,152,3ee44ac3affa45dbc4ab5be41735815933369cefc87278ef1048c3e23e822077
PASSION24.HOUR.02.P004:0-202,PASSION24.HOUR.02.P004,0,202,fcf34072cdb8096041369043541e9353af3fe18cce692b199da4cda803e21e8b
PASSION24.HOUR.02.P005:0-103,PASSION24.HOUR.02.P005,0,103,6cc8baf9e93cbf9084ebb794a03c634d96b1c09dd9485b45dffb87b77359b0ca
PASSION24.HOUR.02.P006:0-271,PASSION24.HOUR.02.P006,0,271,fc1aa5f94b84e066a83c94d76edb2cb9fa7ec1cb7ba9e54846156428bff478c0
PASSION24.HOUR.02.P007:0-343,PASSION24.HOUR.02.P007,0,343,576cd00d430ff2e163cfa8ac47174e5043dfdf19b0f6dd71bbd4980819f212fe
PASSION24.HOUR.02.P008:0-169,PASSION24.HOUR.02.P008,0,169,1bed5eb6aacd66646e589f583b079330cfacf6024cc6c9a7b24f0fa5d0667e41
PASSION24.HOUR.02.P009:0-94,PASSION24.HOUR.02.P009,0,94,e9eada77c636ca2810222759f116c08d2a43bbf4904c2f5981bdad98ce704b34
PASSION24.HOUR.02.P010:0-359,PASSION24.HOUR.02.P010,0,359,924851d329610347df545af847ce2adba564bec8adf33ead1f1581413072879a
PASSION24.HOUR.02.P011:0-520,PASSION24.HOUR.02.P011,0,520,200ed1d5e92999118b2b71c1ec6f9be4d65d5b562eb4b04a40b79b3ffeea1cb6
PASSION24.HOUR.02.P012:0-391,PASSION24.HOUR.02.P012,0,391,26a6f866c9cef86f8f7d7b0af24908716d89821a14245b45a1302bb8a1772b0b
PASSION24.HOUR.02.P013:0-95,PASSION24.HOUR.02.P013,0,95,d756ab1666c57e3d4c21b5c88e1c079dfc2e8f10469b7850232a835a1291d21b
PASSION24.HOUR.02.P014:0-203,PASSION24.HOUR.02.P014,0,203,0679700274aa6a5358adebfaaddf42dce6a5ec28cdb68e440931db3a31a29442
PASSION24.HOUR.02.P014:203-274,PASSION24.HOUR.02.P014,203,274,41251389c06c636254c203b3ad27662056baf795d4383c9625b2082d5d15f87a
PASSION24.HOUR.02.P015:0-147,PASSION24.HOUR.02.P015,0,147,cefe8d2dcf7721bb84ee243e06f0ef5bfa47155e4f8059d73b41ca16cfde7fd0
PASSION24.HOUR.02.P015:147-318,PASSION24.HOUR.02.P015,147,318,78e0ff64f06d64d52768cf49f1049977c4407a0a423460d704e0b3e64217ff46
PASSION24.HOUR.02.P016:0-416,PASSION24.HOUR.02.P016,0,416,6580d765209c114e8541c8bd789d6a3a03b2f9affb09563eea8796f0742848c3
PASSION24.HOUR.02.P017:0-420,PASSION24.HOUR.02.P017,0,420,cc68b10f208dc4ef0c4618555bc7fc8a8ec51b64824fe2e35a912644068c0fc2
PASSION24.HOUR.02.P018:0-119,PASSION24.HOUR.02.P018,0,119,42b961dc88d84ae1e3372f4e3e4a8c00c6cae8293b0bc465fc8ae59bc5290134
PASSION24.HOUR.02.REF.P001:0-255,PASSION24.HOUR.02.REF.P001,0,255,429f2fd1a85b4ead7554fa6e602a1d260e1db05966c2e34afb2ca3720d305d40
PASSION24.HOUR.02.REF.P002:0-122,PASSION24.HOUR.02.REF.P002,0,122,1f675a6cb20fdfecee33576ced77c8544d59689151a69223475005f5e9233bce
PASSION24.HOUR.02.REF.P003:0-267,PASSION24.HOUR.02.REF.P003,0,267,0ee041c4275b20002c46922fc4e7e1f992c1685615854873d499f80ba8e0b801
PASSION24.HOUR.02.REF.P004:0-285,PASSION24.HOUR.02.REF.P004,0,285,b5b34ca700d2bd3bccbb0505fe64d8581763028c3ea78667fafdef6f4011a79b
PASSION24.HOUR.02.REF.P005:0-150,PASSION24.HOUR.02.REF.P005,0,150,c018f0e1d93a52d8212ec58aa357bf4601cff0cb311ee7d5c031a29aa98174b6
PASSION24.HOUR.02.REF.P006:0-155,PASSION24.HOUR.02.REF.P006,0,155,5a67ce6e41426d2a1a33b3b10dd7c7da3d2ecdfdbd0b76a0375217cafa0d6b72
PASSION24.HOUR.02.REF.P007:0-103,PASSION24.HOUR.02.REF.P007,0,103,aac415ff3826a7bce9587826fd397531358446327c4d2aff72f1d0279a3e201b
PASSION24.HOUR.02.REF.P008:0-73,PASSION24.HOUR.02.REF.P008,0,73,0cb8bbc28031070ef8e1e6aa456cb54fe2e40a21467483474b3395bcfa3f8948
PASSION24.HOUR.02.REF.P009:0-55,PASSION24.HOUR.02.REF.P009,0,55,9583f369e2815c45f7bdb43a9084c62bf29bc08b907e4cae2edb57549bfadacd
PASSION24.HOUR.02.REF.P010:0-1238,PASSION24.HOUR.02.REF.P010,0,1238,4050e480e9b708fdabb0179f596932dea761494f4d139dc0e2927e448e5bc42e
PASSION24.HOUR.03.P001:0-512,PASSION24.HOUR.03.P001,0,512,c33273f103049c237453f9fa9eb686e0f96979996da01fdd339ce420e62cf01b
PASSION24.HOUR.03.P002:0-51,PASSION24.HOUR.03.P002,0,51,82778850b1c13be214079ae65d3d714bbe7cd64741078824735a31af7ea493d5
PASSION24.HOUR.03.P003:0-103,PASSION24.HOUR.03.P003,0,103,1aed80d3654825c14361d0938c3c913bd8579e37b6c23300628e7ac5062396c3
PASSION24.HOUR.03.P004:0-270,PASSION24.HOUR.03.P004,0,270,be3da80f82d05aff9c05fe07fc24cabe6683d0015324950a22c0dd21578e2929
PASSION24.HOUR.03.P005:0-580,PASSION24.HOUR.03.P005,0,580,b871e8b6d15133da6843c5a25a8d0175ef3a4703c3c8a21f67d0d5e5d0da819e
PASSION24.HOUR.03.P006:0-160,PASSION24.HOUR.03.P006,0,160,aee22f3373928d866caa52d1c8693fde071f4c3aa01a544a4e5bf100d0820efc
