kind,target_id,offset,next_id,source
local,PASSION24.SECTION.BENEFITS.P057,36,,presentation_projection
local,PASSION24.SECTION.BENEFITS.P095,65,,presentation_projection
local,PASSION24.SECTION.BENEFITS.P102,196,,presentation_projection
local,PASSION24.SECTION.BENEFITS.P102,209,,presentation_projection
local,PASSION24.SECTION.BENEFITS.P106,41,,presentation_projection
local,PASSION24.SECTION.BENEFITS.P108,13,,presentation_projection
local,PASSION24.SECTION.BENEFITS.P110,13,,presentation_projection
local,PASSION24.SECTION.BENEFITS.P116,218,,presentation_projection
local,PASSION24.SECTION.BENEFITS.P122,60,,presentation_projection
local,PASSION24.SECTION.BENEFITS.P122,79,,presentation_projection
local,PASSION24.SECTION.BENEFITS.P136,158,,presentation_projection
local,PASSION24.SECTION.BENEFITS.P149,141,,presentation_projection
local,PASSION24.SECTION.BENEFITS.P153,64,,presentation_projection
local,PASSION24.SECTION.BENEFITS.P169,13,,presentation_projection
local,PASSION24.SECTION.BENEFITS.P175,108,,presentation_projection
local,PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P046,13,,presentation_projection
local,PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P079,25,,presentation_projection
local,PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P091,34,,presentation_projection
local,PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P115,65,,presentation_projection
local,PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P131,13,,presentation_projection
local,PASSION24.TEXT.PART_III_MARY_SORROWS.BODY.P057,78,,presentation_projection
local,PASSION24.TEXT.PART_III_MARY_SORROWS.BODY.P083,45,,presentation_projection
local,PASSION24.TEXT.PART_III_MARY_SORROWS.BODY.P100,40,,presentation_projection
local,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P004,98,,presentation_projection
local,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P015,84,,presentation_projection
local,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P019,12,,presentation_projection
local,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P035,13,,presentation_projection
local,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P053,231,,presentation_projection
local,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P055,36,,presentation_projection
local,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P091,65,,presentation_projection
local,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P097,196,,presentation_projection
local,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P097,209,,presentation_projection
local,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P101,41,,presentation_projection
local,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P103,13,,presentation_projection
local,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P105,13,,presentation_projection
local,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P111,218,,presentation_projection
local,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P117,60,,presentation_projection
local,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P117,79,,presentation_projection
local,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P131,158,,presentation_projection
local,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P144,141,,presentation_projection
local,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P148,64,,presentation_projection
local,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P164,13,,presentation_projection
local,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P170,108,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_01.BODY.P014,17,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_01.BODY.P021,13,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_02.BODY.P011,264,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_04.BODY.P056,18,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_04.BODY.P146,13,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_06.BODY.P033,112,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_06.BODY.P036,122,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_07.BODY.P036,44,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_09.BODY.P006,13,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_09.BODY.P019,13,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_10.BODY.P006,283,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_10.BODY.P009,269,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_10.BODY.P009,294,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_11.BODY.P026,29,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_11.BODY.P047,27,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_11.BODY.P049,61,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_11.BODY.P067,39,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_12.BODY.P006,163,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_13.BODY.P009,13,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_13.BODY.P039,423,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_13.BODY.P053,35,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_13.BODY.P056,129,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_13.BODY.P056,132,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_13.BODY.P120,111,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_13.BODY.P138,38,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_13.BODY.P138,63,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_13.BODY.P162,26,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_14.BODY.P019,67,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_15.BODY.P109,427,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_15.BODY.P180,12,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_16.BODY.P047,141,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_16.BODY.P096,251,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_16.BODY.P098,18,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_17.BODY.P031,149,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_17.BODY.P032,103,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_17.BODY.P033,198,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_17.BODY.P037,13,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_17.BODY.P050,13,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_17.BODY.P050,52,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_17.BODY.P051,78,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_17.BODY.P051,92,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_17.BODY.P054,191,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_17.BODY.P054,204,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_17.BODY.P056,57,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_17.BODY.P057,96,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_17.BODY.P058,38,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_17.BODY.P058,51,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_17.BODY.P059,192,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_18.BODY.P012,16,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_18.BODY.P037,242,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_18.BODY.P062,16,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_18.BODY.P069,40,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_18.BODY.P072,275,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_18.BODY.P073,13,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_18.BODY.P080,16,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_19.BODY.P067,152,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_19.BODY.P074,318,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_20.BODY.P015,106,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_20.BODY.P023,109,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_20.BODY.P024,314,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_20.BODY.P028,414,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_21.BODY.P013,27,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_21.BODY.P049,13,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_21.BODY.P056,13,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_21.BODY.P057,13,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_21.BODY.P059,26,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_21.BODY.P059,95,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_21.BODY.P090,283,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_21.BODY.P093,54,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_21.BODY.P147,167,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_21.BODY.P169,17,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_21.BODY.P169,173,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_22.BODY.P009,136,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_22.BODY.P036,50,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_22.BODY.P054,13,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_22.BODY.P088,32,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_22.BODY.P090,217,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_22.BODY.P094,114,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_22.BODY.P095,65,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_22.BODY.P095,134,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_22.BODY.P096,97,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_24.BODY.P008,41,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_24.BODY.P010,13,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_24.BODY.P010,370,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_24.BODY.P011,13,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_24.BODY.P017,218,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_24.BODY.P022,201,,presentation_projection
local,PASSION24.TEXT.RELATED_HOUR_24.BODY.P022,220,,presentation_projection
local,PASSION24.TEXT.SHARED_T09_1910_07_04_AGONY_CROSS_LAST_BREATH.BODY.P003,13,,presentation_projection
cross_record,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P085,,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P086,presentation_projection
cross_record,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P103,,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P104,presentation_projection
cross_record,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P138,,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P139,presentation_projection
cross_record,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P157,,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P158,presentation_projection
